,Site_Id,SiteName,Region,geometry,index_right,Code,Name
20,650,WAGGA WAGGA,South-west Slopes,POINT (147.360846 -35.115598),316,10316,Wagga Wagga - West
21,760,ST MARYS,Sydney North-west,POINT (150.76677 -33.79512),113,10113,Penrith - South
22,765,VINEYARD,Sydney North-west,POINT (150.847682 -33.65623),26,10026,Marsden Park/ Riverstone/ Schofields
23,795,BATHURST,Central Tablelands,POINT (149.57456 -33.40178),173,10173,Bathurst
24,914,PORT KEMBLA STEELWORKS,Port Kembla Steelworks,POINT (150.881703 -34.47964),220,10220,Berkeley - Warrawong - Windang
25,919,PARRAMATTA NORTH,Sydney North-west,POINT (150.99777 -33.7995),129,10129,North Parramatta
26,1560,MACARTHUR,Sydney South-west,POINT (150.78218 -34.07087),99,10099,Campbelltown - Woodbine/ Rosemeadow - Glen Alpine
27,1570,OAKDALE,Sydney South-west,POINT (150.49819 -34.0517),104,10104,Douglas Park - Appin/ The Oaks - Oakdale
28,2921,ALBION PARK SOUTH,Illawarra,POINT (150.78252 -34.57781),225,10225,Albion Park - Macquarie Pass
29,333,MUSWELLBROOK,Upper Hunter,POINT (150.88563 -32.27152),217,10217,Muswellbrook
30,330,SINGLETON,Upper Hunter,POINT (151.17707 -32.55734),206,10206,Singleton
31,3330,MAISON DIEU,Upper Hunter,POINT (151.06183 -32.52468),201,10201,Branxton - Greta - Pokolbin/ Singleton Region
32,2330,CAMBERWELL,Upper Hunter,POINT (151.09188 -32.47231),201,10201,Branxton - Greta - Pokolbin/ Singleton Region
33,1330,SINGLETON NW,Upper Hunter,POINT (151.15006 -32.52981),206,10206,Singleton
34,5330,MOUNT THORLEY,Upper Hunter,POINT (151.128 -32.63589),201,10201,Branxton - Greta - Pokolbin/ Singleton Region
35,4330,BULGA,Upper Hunter,POINT (151.03598 -32.64864),201,10201,Branxton - Greta - Pokolbin/ Singleton Region
36,1650,WAGGA WAGGA NORTH,South-west Slopes,POINT (147.36037 -35.10411),316,10316,Wagga Wagga - West
37,1333,MUSWELLBROOK NW,Upper Hunter,POINT (150.88119 -32.25317),217,10217,Muswellbrook
38,2333,WYBONG,Upper Hunter,POINT (150.67342 -32.19505),218,10218,Muswellbrook Region
39,336,ABERDEEN,Upper Hunter,POINT (150.88415 -32.17718),219,10219,Scone/ Scone Region
40,6330,SINGLETON SOUTH,Upper Hunter,POINT (151.20895 -32.5871),206,10206,Singleton
41,7330,JERRYS PLAINS,Upper Hunter,POINT (150.86416 -32.46622),201,10201,Branxton - Greta - Pokolbin/ Singleton Region
42,8330,WARKWORTH,Upper Hunter,POINT (151.02721 -32.57398),201,10201,Branxton - Greta - Pokolbin/ Singleton Region
43,329,MERRIWA,Upper Hunter,POINT (150.45824 -32.12665),219,10219,Scone/ Scone Region
44,2560,CAMPBELLTOWN WEST,Sydney South-west,POINT (150.79558 -34.06666),99,10099,Campbelltown - Woodbine/ Rosemeadow - Glen Alpine
45,2570,CAMDEN,Sydney South-west,POINT (150.69013 -34.04168),139,10139,Cobbitty - Leppington
46,4560,CATARACT,Cataract RFS,POINT (150.823516 -34.244788),104,10104,Douglas Park - Appin/ The Oaks - Oakdale
