pha,sex,year,asr_per_100k,disease,population
10228,females,2017,2231.41054300377,Respiratory disease,124.0
10206,females,2017,2725.06052549743,Respiratory disease,166.0
10167,females,2017,1833.91658279539,Respiratory disease,245.0
10169,females,2017,1540.17162775065,Respiratory disease,200.0
10061,females,2017,1498.11527646521,Respiratory disease,285.0
10323,females,2017,1194.37646589062,Respiratory disease,179.0
10085,females,2017,2595.9285639742,Respiratory disease,641.0
10117,females,2017,2535.60673658752,Respiratory disease,374.0
10290,females,2017,1489.54725869829,Respiratory disease,94.0
10076,females,2017,915.337455545242,Respiratory disease,166.0
10275,females,2017,2035.68287925417,Respiratory disease,126.0
10035,females,2017,750.002232563347,Respiratory disease,63.0
10040,females,2017,780.995095797542,Respiratory disease,69.0
10036,females,2017,1113.80597106852,Respiratory disease,271.0
10037,females,2017,1070.43618137701,Respiratory disease,220.0
10266,females,2017,3548.91792518754,Respiratory disease,320.0
10267,females,2017,2494.65233058815,Respiratory disease,219.0
10268,females,2017,,Respiratory disease,
10269,females,2017,2929.67585157626,Respiratory disease,225.0
10248,females,2017,2263.38890433364,Respiratory disease,280.0
10215,females,2017,675.187129054294,Respiratory disease,60.0
10005,females,2017,1596.06169138209,Respiratory disease,213.0
10210,females,2017,2626.09907889415,Respiratory disease,116.0
10131,females,2017,1911.24166488006,Respiratory disease,228.0
10281,females,2017,2532.19130408061,Respiratory disease,212.0
10311,females,2017,2341.97333423356,Respiratory disease,125.0
10312,females,2017,7086.95537355994,Respiratory disease,130.0
10306,females,2017,3188.88597959077,Respiratory disease,285.0
10307,females,2017,2300.37466854859,Respiratory disease,488.0
10324,females,2017,2130.6489401537,Respiratory disease,131.0
10325,females,2017,,Respiratory disease,
10006,females,2017,2068.67507863024,Respiratory disease,461.0
10276,females,2017,1593.63935520172,Respiratory disease,104.0
10314,females,2017,2746.96364317297,Respiratory disease,326.0
10315,females,2017,4920.31194040912,Respiratory disease,352.0
10316,females,2017,2871.06619485296,Respiratory disease,245.0
10317,females,2017,4360.42790540196,Respiratory disease,227.0
10291,females,2017,2175.29737380102,Respiratory disease,213.0
10282,females,2017,2218.37701417774,Respiratory disease,124.0
